run,condition,ell,blend,n_frames,z_min_mm,z_max_mm,brightest_z_mm,start_0mm-25mm_mm,start_20mm-45mm_mm,start_40mm-65mm_mm
29_n15_7-27-26,FBZ,0,hardcut,144,0.0,71.5,43.5,0.0,22.5,45.0
29_n15_7-27-26,FBZ,1,hardcut,144,0.0,71.5,46.0,0.0,22.5,45.5
29_n15_7-27-26,FBZ,2,hardcut,144,0.0,71.5,49.0,0.0,24.0,46.5
29_n15_7-27-26,FBZ,3,hardcut,144,0.0,71.5,50.5,0.0,23.0,45.5
29_n15_7-27-26,FBZ,4,hardcut,144,0.0,71.5,51.0,0.0,23.0,46.0
29_n15_7-27-26,FBZ,5,hardcut,144,0.0,71.5,51.0,0.0,23.0,46.0
29_n15_7-27-26,Optimal,0,hardcut,141,0.0,70.0,43.5,0.0,24.0,44.5
29_n15_7-27-26,Optimal,1,hardcut,141,0.0,70.0,47.5,0.0,24.5,45.0
29_n15_7-27-26,Optimal,2,hardcut,141,0.0,70.0,50.0,0.0,24.0,43.5
29_n15_7-27-26,Optimal,3,hardcut,141,0.0,70.0,49.5,0.0,24.0,44.0
29_n15_7-27-26,Optimal,4,hardcut,141,0.0,70.0,50.5,0.0,24.0,44.5
29_n15_7-27-26,Optimal,5,hardcut,141,0.0,70.0,49.5,0.0,24.5,44.5
29_n15_7-27-26,PFBZ,0,hardcut,139,0.0,69.0,42.0,0.0,21.0,43.5
29_n15_7-27-26,PFBZ,1,hardcut,139,0.0,69.0,42.5,0.0,21.0,43.5
29_n15_7-27-26,PFBZ,2,hardcut,139,0.0,69.0,45.0,0.0,21.0,43.5
29_n15_7-27-26,PFBZ,3,hardcut,139,0.0,69.0,45.5,0.0,21.0,43.5
29_n15_7-27-26,PFBZ,4,hardcut,139,0.0,69.0,47.0,0.0,21.0,43.5
29_n15_7-27-26,PFBZ,5,hardcut,139,0.0,69.0,49.0,0.0,21.0,44.0
