condition,ell,segment,nominal_start_mm,start_mm
FBZ,0,0mm-25mm,0.0,0.0
FBZ,0,20mm-45mm,20.0,22.5
FBZ,0,40mm-65mm,40.0,45.0
FBZ,1,0mm-25mm,0.0,0.0
FBZ,1,20mm-45mm,20.0,22.5
FBZ,1,40mm-65mm,40.0,45.5
FBZ,2,0mm-25mm,0.0,0.0
FBZ,2,20mm-45mm,20.0,24.0
FBZ,2,40mm-65mm,40.0,46.5
FBZ,3,0mm-25mm,0.0,0.0
FBZ,3,20mm-45mm,20.0,23.0
FBZ,3,40mm-65mm,40.0,45.5
FBZ,4,0mm-25mm,0.0,0.0
FBZ,4,20mm-45mm,20.0,23.0
FBZ,4,40mm-65mm,40.0,46.0
FBZ,5,0mm-25mm,0.0,0.0
FBZ,5,20mm-45mm,20.0,23.0
FBZ,5,40mm-65mm,40.0,46.0
Optimal,0,0mm-25mm,0.0,0.0
Optimal,0,20mm-45mm,20.0,24.0
Optimal,0,40mm-65mm,40.0,44.5
Optimal,1,0mm-25mm,0.0,0.0
Optimal,1,20mm-45mm,20.0,24.5
Optimal,1,40mm-65mm,40.0,45.0
Optimal,2,0mm-25mm,0.0,0.0
Optimal,2,20mm-45mm,20.0,24.0
Optimal,2,40mm-65mm,40.0,43.5
Optimal,3,0mm-25mm,0.0,0.0
Optimal,3,20mm-45mm,20.0,24.0
Optimal,3,40mm-65mm,40.0,44.0
Optimal,4,0mm-25mm,0.0,0.0
Optimal,4,20mm-45mm,20.0,24.0
Optimal,4,40mm-65mm,40.0,44.5
Optimal,5,0mm-25mm,0.0,0.0
Optimal,5,20mm-45mm,20.0,24.5
Optimal,5,40mm-65mm,40.0,44.5
PFBZ,0,0mm-25mm,0.0,0.0
PFBZ,0,20mm-45mm,20.0,21.0
PFBZ,0,40mm-65mm,40.0,43.5
PFBZ,1,0mm-25mm,0.0,0.0
PFBZ,1,20mm-45mm,20.0,21.0
PFBZ,1,40mm-65mm,40.0,43.5
PFBZ,2,0mm-25mm,0.0,0.0
PFBZ,2,20mm-45mm,20.0,21.0
PFBZ,2,40mm-65mm,40.0,43.5
PFBZ,3,0mm-25mm,0.0,0.0
PFBZ,3,20mm-45mm,20.0,21.0
PFBZ,3,40mm-65mm,40.0,43.5
PFBZ,4,0mm-25mm,0.0,0.0
PFBZ,4,20mm-45mm,20.0,21.0
PFBZ,4,40mm-65mm,40.0,43.5
PFBZ,5,0mm-25mm,0.0,0.0
PFBZ,5,20mm-45mm,20.0,21.0
PFBZ,5,40mm-65mm,40.0,44.0
